Time	TH	ErrTH	H	Prob[Metastasis--Apoptosis--CellCycleArrest]	ErrProb[Metastasis--Apoptosis--CellCycleArrest]	Prob[Migration--EMT--Invasion--Apoptosis--CellCycleArrest]	ErrProb[Migration--EMT--Invasion--Apoptosis--CellCycleArrest]	Prob[Migration--Metastasis--EMT--Invasion--CellCycleArrest]	ErrProb[Migration--Metastasis--EMT--Invasion--CellCycleArrest]	Prob[Metastasis--Invasion]	ErrProb[Metastasis--Invasion]	Prob[Migration--EMT--Apoptosis]	ErrProb[Migration--EMT--Apoptosis]	Prob[Migration--Apoptosis--CellCycleArrest]	ErrProb[Migration--Apoptosis--CellCycleArrest]	Prob[Metastasis--EMT]	ErrProb[Metastasis--EMT]	Prob[Migration--Metastasis]	ErrProb[Migration--Metastasis]	Prob[EMT--CellCycleArrest]	ErrProb[EMT--CellCycleArrest]	Prob[Apoptosis--CellCycleArrest]	ErrProb[Apoptosis--CellCycleArrest]	Prob[EMT--Apoptosis]	ErrProb[EMT--Apoptosis]	Prob[Metastasis--EMT--Apoptosis--CellCycleArrest]	ErrProb[Metastasis--EMT--Apoptosis--CellCycleArrest]	Prob[EMT]	ErrProb[EMT]	Prob[Migration--Metastasis--EMT--Apoptosis]	ErrProb[Migration--Metastasis--EMT--Apoptosis]	Prob[Metastasis--EMT--Invasion]	ErrProb[Metastasis--EMT--Invasion]	Prob[<nil>]	ErrProb[<nil>]	Prob[Metastasis--Apoptosis]	ErrProb[Metastasis--Apoptosis]	Prob[EMT--Invasion]	ErrProb[EMT--Invasion]	Prob[Metastasis--EMT--Apoptosis]	ErrProb[Metastasis--EMT--Apoptosis]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis--CellCycleArrest]	Prob[Migration--Apoptosis]	ErrProb[Migration--Apoptosis]	Prob[Migration--Metastasis--EMT--CellCycleArrest]	ErrProb[Migration--Metastasis--EMT--CellCycleArrest]	Prob[Migration--Metastasis--Invasion]	ErrProb[Migration--Metastasis--Invasion]	Prob[EMT--Apoptosis--CellCycleArrest]	ErrProb[EMT--Apoptosis--CellCycleArrest]	Prob[Metastasis--Invasion--Apoptosis]	ErrProb[Metastasis--Invasion--Apoptosis]	Prob[Migration--Metastasis--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--Apoptosis--CellCycleArrest]	Prob[Metastasis--Invasion--Apoptosis--CellCycleArrest]	ErrProb[Metastasis--Invasion--Apoptosis--CellCycleArrest]	Prob[Metastasis--EMT--Invasion--Apoptosis--CellCycleArrest]	ErrProb[Metastasis--EMT--Invasion--Apoptosis--CellCycleArrest]	Prob[Migration--Metastasis--Invasion--Apoptosis]	ErrProb[Migration--Metastasis--Invasion--Apoptosis]	Prob[EMT--Invasion--Apoptosis]	ErrProb[EMT--Invasion--Apoptosis]	Prob[Invasion--Apoptosis--CellCycleArrest]	ErrProb[Invasion--Apoptosis--CellCycleArrest]	Prob[Migration--EMT--Apoptosis--CellCycleArrest]	ErrProb[Migration--EMT--Apoptosis--CellCycleArrest]	Prob[Migration]	ErrProb[Migration]	Prob[Migration--EMT]	ErrProb[Migration--EMT]	Prob[EMT--Invasion--CellCycleArrest]	ErrProb[EMT--Invasion--CellCycleArrest]	Prob[Migration--Metastasis--Invasion--CellCycleArrest]	ErrProb[Migration--Metastasis--Invasion--CellCycleArrest]	Prob[Metastasis--EMT--Invasion--Apoptosis]	ErrProb[Metastasis--EMT--Invasion--Apoptosis]	Prob[Migration--EMT--Invasion--CellCycleArrest]	ErrProb[Migration--EMT--Invasion--CellCycleArrest]	Prob[Migration--EMT--Invasion]	ErrProb[Migration--EMT--Invasion]	Prob[Metastasis]	ErrProb[Metastasis]	Prob[Invasion--Apoptosis]	ErrProb[Invasion--Apoptosis]	Prob[Apoptosis]	ErrProb[Apoptosis]	Prob[EMT--Invasion--Apoptosis--CellCycleArrest]	ErrProb[EMT--Invasion--Apoptosis--CellCycleArrest]	Prob[Migration--Metastasis--Invasion--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--Invasion--Apoptosis--CellCycleArrest]	Prob[Invasion]	ErrProb[Invasion]	Prob[Migration--EMT--Invasion--Apoptosis]	ErrProb[Migration--EMT--Invasion--Apoptosis]	Prob[Metastasis--EMT--CellCycleArrest]	ErrProb[Metastasis--EMT--CellCycleArrest]	Prob[Metastasis--CellCycleArrest]	ErrProb[Metastasis--CellCycleArrest]	Prob[Migration--Metastasis--CellCycleArrest]	ErrProb[Migration--Metastasis--CellCycleArrest]	Prob[Migration--Metastasis--Apoptosis]	ErrProb[Migration--Metastasis--Apoptosis]	Prob[Migration--CellCycleArrest]	ErrProb[Migration--CellCycleArrest]	Prob[Migration--Invasion--Apoptosis--CellCycleArrest]	ErrProb[Migration--Invasion--Apoptosis--CellCycleArrest]	Prob[Migration--Invasion--Apoptosis]	ErrProb[Migration--Invasion--Apoptosis]	Prob[Migration--Invasion]	ErrProb[Migration--Invasion]	Prob[Migration--Invasion--CellCycleArrest]	ErrProb[Migration--Invasion--CellCycleArrest]	Prob[Invasion--CellCycleArrest]	ErrProb[Invasion--CellCycleArrest]	Prob[CellCycleArrest]	ErrProb[CellCycleArrest]	Prob[Metastasis--Invasion--CellCycleArrest]	ErrProb[Metastasis--Invasion--CellCycleArrest]	Prob[Migration--Metastasis--EMT--Invasion]	ErrProb[Migration--Metastasis--EMT--Invasion]	Prob[Migration--Metastasis--EMT--Apoptosis--CellCycleArrest]	ErrProb[Migration--Metastasis--EMT--Apoptosis--CellCycleArrest]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis]	Prob[Migration--EMT--CellCycleArrest]	ErrProb[Migration--EMT--CellCycleArrest]	Prob[Migration--Metastasis--EMT]	ErrProb[Migration--Metastasis--EMT]	Prob[Metastasis--EMT--Invasion--CellCycleArrest]	ErrProb[Metastasis--EMT--Invasion--CellCycleArrest]	
7.3000	0.0361	0.0008	3.1280	0.000608	0.000109	0.000080	0.000040	0.171580	0.001682	0.000058	0.000032	0	0	0	0	0.000102	0.000045	0.000080	0.000040	0.187617	0.001741	0.209777	0.001817	0.000222	0.000065	0	0	0.018868	0.000601	0	0	0.000189	0.000060	0.136249	0.001529	0	0	0.016484	0.000564	0	0	0.000100	0.000045	0.000001	0.000001	0.004927	0.000309	0.000026	0.000021	0.001669	0.000179	0	0	0.000139	0.000052	0	0	0	0	0	0	0.000123	0.000047	0.001265	0.000157	0	0	0.000013	0.000013	0.000040	0.000028	0.051433	0.000976	0.000005	0.000005	0	0	0.041447	0.000877	0.001646	0.000178	0.000462	0.000096	0.000267	0.000072	0.005920	0.000339	0.000404	0.000088	0	0	0.012130	0.000483	0	0	0.005766	0.000333	0.000435	0.000092	0.000095	0.000043	0.000019	0.000019	0	0	0	0	0	0	0	0	0	0	0.014075	0.000519	0.112356	0.001402	0.000033	0.000023	0.002433	0.000217	0	0	0	0	0.000516	0.000099	0.000077	0.000038	0.000265	0.000072	
7.4000	0.0348	0.0008	3.1095	0.000590	0.000107	0.000091	0.000042	0.175357	0.001696	0.000060	0.000035	0	0	0	0	0.000142	0.000051	0.000068	0.000036	0.187593	0.001741	0.212705	0.001826	0.000249	0.000070	0	0	0.018019	0.000588	0	0	0.000196	0.000060	0.136416	0.001530	0	0	0.015990	0.000555	0	0	0.000100	0.000045	0	0	0.004814	0.000305	0.000020	0.000020	0.001607	0.000177	0	0	0.000107	0.000045	0	0	0	0	0	0	0.000093	0.000041	0.001152	0.000149	0	0	0	0	0.000040	0.000028	0.050375	0.000967	0.000020	0.000020	0	0	0.041114	0.000875	0.001675	0.000178	0.000434	0.000091	0.000237	0.000068	0.005735	0.000331	0.000422	0.000089	0	0	0.011699	0.000475	0	0	0.005487	0.000325	0.000396	0.000088	0.000080	0.000040	0.000020	0.000020	0	0	0	0	0	0	0	0	0	0	0.013664	0.000511	0.110040	0.001390	0.000020	0.000020	0.002395	0.000216	0	0	0	0	0.000487	0.000095	0.000069	0.000035	0.000223	0.000065	
7.5000	0.0333	0.0008	3.0935	0.000555	0.000105	0.000084	0.000040	0.178992	0.001710	0.000060	0.000035	0	0	0	0	0.000192	0.000061	0.000060	0.000035	0.188139	0.001743	0.215438	0.001835	0.000247	0.000069	0	0	0.016955	0.000570	0	0	0.000194	0.000062	0.136618	0.001531	0	0	0.015744	0.000551	0	0	0.000090	0.000041	0	0	0.004752	0.000303	0.000020	0.000020	0.001618	0.000177	0	0	0.000100	0.000045	0	0	0	0	0	0	0.000088	0.000041	0.001064	0.000144	0	0	0	0	0.000040	0.000028	0.049019	0.000954	0.000020	0.000020	0	0	0.040765	0.000870	0.001663	0.000178	0.000363	0.000085	0.000218	0.000064	0.005568	0.000329	0.000436	0.000091	0	0	0.011201	0.000465	0	0	0.005309	0.000319	0.000403	0.000088	0.000071	0.000036	0.000020	0.000020	0	0	0	0	0	0	0	0	0	0	0.013628	0.000510	0.107052	0.001373	0.000017	0.000017	0.002401	0.000216	0	0	0	0	0.000498	0.000097	0.000084	0.000038	0.000215	0.000065	
7.6000	0.0321	0.0008	3.0759	0.000515	0.000100	0.000046	0.000029	0.182990	0.001725	0.000067	0.000035	0	0	0	0	0.000202	0.000063	0.000026	0.000021	0.188557	0.001745	0.218039	0.001843	0.000240	0.000069	0	0	0.016335	0.000561	0	0	0.000146	0.000052	0.136625	0.001531	0	0	0.015434	0.000546	0	0	0.000084	0.000039	0	0	0.004545	0.000295	0.000013	0.000013	0.001486	0.000171	0	0	0.000084	0.000039	0	0	0	0	0	0	0.000114	0.000043	0.000989	0.000138	0	0	0	0	0.000045	0.000029	0.047413	0.000939	0.000030	0.000022	0	0	0.040313	0.000865	0.001547	0.000171	0.000412	0.000090	0.000194	0.000060	0.005497	0.000326	0.000387	0.000085	0	0	0.011120	0.000463	0	0	0.005365	0.000321	0.000352	0.000083	0.000076	0.000038	0.000020	0.000020	0	0	0	0	0	0	0	0	0	0	0.013700	0.000514	0.103963	0.001356	0	0	0.002356	0.000213	0	0	0	0	0.000404	0.000089	0.000040	0.000028	0.000227	0.000066	
7.7000	0.0306	0.0008	3.0583	0.000481	0.000098	0.000040	0.000028	0.187117	0.001740	0.000080	0.000040	0	0	0	0	0.000194	0.000061	0.000020	0.000020	0.188526	0.001745	0.220838	0.001851	0.000243	0.000068	0	0	0.015902	0.000552	0	0	0.000118	0.000043	0.136431	0.001530	0	0	0.015067	0.000538	0	0	0.000080	0.000040	0	0	0.004160	0.000282	0	0	0.001404	0.000165	0	0	0.000060	0.000035	0	0	0	0	0	0	0.000101	0.000045	0.000963	0.000137	0	0	0	0	0.000042	0.000028	0.045696	0.000922	0.000021	0.000017	0	0	0.039854	0.000860	0.001350	0.000158	0.000377	0.000086	0.000169	0.000056	0.005381	0.000321	0.000320	0.000079	0	0	0.011029	0.000462	0	0	0.005630	0.000330	0.000328	0.000079	0.000080	0.000040	0.000020	0.000020	0	0	0	0	0	0	0	0	0	0	0.013628	0.000513	0.101298	0.001340	0.000013	0.000010	0.002274	0.000209	0	0	0	0	0.000372	0.000082	0.000044	0.000026	0.000250	0.000069	
7.8000	0.0297	0.0008	3.0398	0.000450	0.000094	0.000020	0.000020	0.190828	0.001753	0.000094	0.000042	0	0	0	0	0.000195	0.000062	0.000020	0.000020	0.188490	0.001745	0.224142	0.001862	0.000222	0.000065	0	0	0.015145	0.000538	0	0	0.000166	0.000057	0.136443	0.001531	0	0	0.014958	0.000536	0	0	0.000080	0.000040	0	0	0.003979	0.000277	0	0	0.001367	0.000163	0	0	0.000060	0.000035	0	0	0	0	0	0	0.000117	0.000048	0.000853	0.000128	0	0	0	0	0.000040	0.000028	0.044738	0.000913	0	0	0	0	0.039143	0.000854	0.001304	0.000157	0.000375	0.000086	0.000163	0.000055	0.005042	0.000312	0.000276	0.000073	0	0	0.010626	0.000452	0.000003	0.000003	0.005610	0.000328	0.000249	0.000069	0.000080	0.000040	0.000020	0.000020	0	0	0	0	0	0	0	0	0	0	0.013509	0.000510	0.098359	0.001323	0.000039	0.000027	0.002111	0.000202	0	0	0	0	0.000416	0.000088	0.000061	0.000035	0.000206	0.000060	
7.9000	0.0285	0.0008	3.0204	0.000400	0.000088	0.000020	0.000020	0.194467	0.001766	0.000082	0.000040	0	0	0	0	0.000150	0.000053	0.000020	0.000020	0.188761	0.001746	0.226970	0.001870	0.000172	0.000056	0	0	0.014792	0.000532	0	0	0.000160	0.000057	0.136291	0.001530	0	0	0.014640	0.000530	0	0	0.000080	0.000040	0	0	0.003668	0.000267	0	0	0.001339	0.000162	0	0	0.000057	0.000033	0	0	0	0	0	0	0.000100	0.000045	0.000722	0.000118	0	0	0	0	0.000040	0.000028	0.044493	0.000912	0.000013	0.000013	0	0	0.038406	0.000847	0.001250	0.000153	0.000361	0.000084	0.000205	0.000061	0.004769	0.000303	0.000289	0.000075	0	0	0.010365	0.000446	0.000007	0.000007	0.005439	0.000323	0.000221	0.000065	0.000080	0.000040	0.000020	0.000020	0	0	0	0	0	0	0	0	0	0	0.013055	0.000500	0.095418	0.001305	0.000032	0.000023	0.001978	0.000196	0	0	0	0	0.000389	0.000086	0.000079	0.000040	0.000202	0.000062	
8.0000	0.0272	0.0007	3.0021	0.000345	0.000081	0.000020	0.000020	0.198143	0.001778	0.000080	0.000040	0	0	0	0	0.000100	0.000045	0.000020	0.000020	0.188705	0.001746	0.229691	0.001878	0.000171	0.000056	0	0	0.014564	0.000530	0	0	0.000160	0.000057	0.135995	0.001529	0	0	0.014046	0.000520	0	0	0.000071	0.000036	0	0	0.003543	0.000262	0	0	0.001301	0.000159	0	0	0.000040	0.000028	0	0	0	0	0	0	0.000119	0.000047	0.000742	0.000120	0	0	0	0	0.000040	0.000028	0.044181	0.000907	0.000020	0.000020	0	0	0.037496	0.000836	0.001152	0.000147	0.000322	0.000079	0.000191	0.000060	0.004557	0.000298	0.000322	0.000078	0	0	0.010181	0.000443	0	0	0.005231	0.000319	0.000182	0.000057	0.000080	0.000040	0.000020	0.000020	0	0	0	0	0	0	0	0	0	0	0.012559	0.000491	0.093041	0.001290	0.000016	0.000016	0.001881	0.000191	0	0	0	0	0.000415	0.000091	0.000076	0.000038	0.000181	0.000058	
8.1000	0.0265	0.0007	2.9818	0.000332	0.000081	0.000020	0.000020	0.201953	0.001792	0.000068	0.000034	0	0	0	0	0.000121	0.000046	0.000020	0.000020	0.188869	0.001747	0.232498	0.001886	0.000185	0.000060	0	0	0.014302	0.000525	0	0	0.000168	0.000055	0.136048	0.001529	0	0	0.013222	0.000505	0	0	0.000038	0.000024	0	0	0.003499	0.000260	0	0	0.001295	0.000159	0	0	0.000040	0.000028	0	0	0	0	0	0	0.000115	0.000046	0.000618	0.000108	0	0	0	0	0.000029	0.000022	0.043320	0.000899	0.000022	0.000020	0	0	0.036887	0.000830	0.001095	0.000143	0.000296	0.000077	0.000233	0.000065	0.004227	0.000285	0.000318	0.000080	0	0	0.010021	0.000439	0	0	0.004990	0.000310	0.000115	0.000045	0.000078	0.000039	0.000020	0.000020	0	0	0	0	0	0	0	0	0	0	0.012223	0.000483	0.090280	0.001272	0	0	0.001812	0.000188	0	0	0	0	0.000421	0.000087	0.000050	0.000029	0.000154	0.000054	
8.2000	0.0258	0.0007	2.9611	0.000320	0.000080	0.000020	0.000020	0.205540	0.001803	0.000060	0.000035	0	0	0	0	0.000119	0.000049	0.000020	0.000020	0.189228	0.001748	0.235008	0.001893	0.000156	0.000054	0	0	0.013811	0.000515	0	0	0.000138	0.000049	0.135971	0.001529	0	0	0.012776	0.000496	0	0	0.000020	0.000020	0	0	0.003421	0.000257	0	0	0.001256	0.000155	0	0	0.000040	0.000028	0	0	0	0	0	0	0.000131	0.000050	0.000581	0.000106	0	0	0	0	0.000020	0.000020	0.042615	0.000892	0.000040	0.000028	0	0	0.036329	0.000822	0.001048	0.000141	0.000279	0.000075	0.000178	0.000057	0.003950	0.000276	0.000310	0.000077	0	0	0.009866	0.000436	0	0	0.004773	0.000303	0.000040	0.000028	0.000060	0.000035	0.000020	0.000020	0	0	0	0	0	0	0	0	0	0	0.011509	0.000469	0.087994	0.001258	0	0	0.001710	0.000181	0	0	0	0	0.000416	0.000089	0.000055	0.000032	0.000172	0.000058	
8.3000	0.0246	0.0007	2.9432	0.000320	0.000080	0.000016	0.000016	0.209064	0.001815	0.000038	0.000024	0	0	0	0	0.000100	0.000045	0.000020	0.000020	0.189484	0.001749	0.237599	0.001900	0.000141	0.000053	0	0	0.013198	0.000505	0	0	0.000140	0.000053	0.135621	0.001527	0	0	0.012419	0.000490	0	0	0.000020	0.000020	0	0	0.003289	0.000252	0	0	0.001256	0.000156	0	0	0.000040	0.000028	0	0	0	0	0	0	0.000140	0.000053	0.000571	0.000106	0	0	0	0	0.000013	0.000013	0.041856	0.000886	0.000052	0.000031	0	0	0.035785	0.000818	0.001006	0.000136	0.000282	0.000074	0.000156	0.000054	0.003899	0.000274	0.000253	0.000069	0	0	0.009638	0.000431	0	0	0.004735	0.000302	0.000056	0.000033	0.000044	0.000029	0.000020	0.000020	0	0	0	0	0	0	0	0	0	0	0.011048	0.000462	0.085498	0.001242	0	0	0.001568	0.000174	0	0	0	0	0.000411	0.000088	0.000067	0.000035	0.000137	0.000050	
8.4000	0.0237	0.0007	2.9258	0.000305	0.000077	0	0	0.212428	0.001826	0.000020	0.000020	0	0	0	0	0.000086	0.000040	0.000015	0.000015	0.189742	0.001750	0.240205	0.001908	0.000152	0.000054	0	0	0.012801	0.000496	0	0	0.000117	0.000046	0.135307	0.001526	0	0	0.012289	0.000487	0	0	0.000020	0.000020	0	0	0.003066	0.000244	0	0	0.001181	0.000152	0	0	0.000031	0.000023	0	0	0	0	0	0	0.000134	0.000051	0.000606	0.000107	0	0	0	0	0.000020	0.000020	0.040613	0.000872	0.000060	0.000035	0	0	0.035424	0.000814	0.001033	0.000140	0.000278	0.000074	0.000135	0.000050	0.003846	0.000272	0.000249	0.000069	0	0	0.009203	0.000421	0	0	0.004730	0.000302	0.000060	0.000035	0.000045	0.000029	0.000020	0.000020	0	0	0	0	0	0	0	0	0	0	0.010724	0.000455	0.083028	0.001225	0	0	0.001476	0.000169	0	0	0	0	0.000360	0.000082	0.000080	0.000040	0.000112	0.000046	
8.5000	0.0227	0.0007	2.9082	0.000269	0.000073	0	0	0.215921	0.001837	0.000020	0.000020	0	0	0	0	0.000060	0.000035	0	0	0.189823	0.001751	0.242585	0.001915	0.000156	0.000055	0	0	0.012583	0.000493	0	0	0.000095	0.000043	0.135048	0.001525	0	0	0.011820	0.000477	0	0	0.000020	0.000020	0	0	0.002879	0.000236	0	0	0.001123	0.000148	0	0	0.000020	0.000020	0	0	0	0	0	0	0.000120	0.000048	0.000590	0.000107	0	0	0	0	0.000020	0.000020	0.039745	0.000863	0.000046	0.000029	0	0	0.034712	0.000806	0.001010	0.000136	0.000238	0.000067	0.000127	0.000049	0.003589	0.000263	0.000276	0.000074	0	0	0.008933	0.000415	0	0	0.004578	0.000298	0.000049	0.000029	0.000058	0.000034	0.000020	0.000020	0	0	0	0	0	0	0	0	0.000008	0.000008	0.010766	0.000454	0.080693	0.001210	0.000014	0.000014	0.001458	0.000168	0	0	0	0	0.000347	0.000082	0.000081	0.000038	0.000100	0.000043	
8.6000	0.0213	0.0007	2.8925	0.000260	0.000072	0.000001	0.000001	0.219307	0.001847	0.000023	0.000020	0	0	0	0	0.000050	0.000029	0.000015	0.000015	0.189753	0.001751	0.244669	0.001920	0.000162	0.000057	0	0	0.012422	0.000489	0	0	0.000076	0.000037	0.134655	0.001523	0	0	0.011624	0.000474	0	0	0.000001	0.000001	0	0	0.002831	0.000234	0	0	0.001139	0.000148	0	0	0.000020	0.000020	0	0	0	0	0	0	0.000103	0.000045	0.000563	0.000105	0	0	0	0	0.000001	0.000001	0.038967	0.000857	0.000040	0.000028	0	0	0.033972	0.000798	0.001017	0.000138	0.000189	0.000061	0.000088	0.000040	0.003577	0.000264	0.000264	0.000071	0	0	0.008622	0.000406	0	0	0.004439	0.000293	0.000060	0.000035	0.000040	0.000028	0.000020	0.000020	0	0	0	0	0	0	0	0	0.000020	0.000020	0.010448	0.000448	0.078646	0.001196	0.000003	0.000003	0.001446	0.000167	0	0	0	0	0.000310	0.000076	0.000078	0.000036	0.000080	0.000040	
8.7000	0.0209	0.0006	2.8756	0.000256	0.000070	0	0	0.222791	0.001857	0	0	0	0	0	0	0.000020	0.000020	0.000020	0.000020	0.189686	0.001750	0.247065	0.001926	0.000163	0.000055	0	0	0.012371	0.000489	0	0	0.000080	0.000040	0.134161	0.001521	0	0	0.011358	0.000468	0	0	0	0	0	0	0.002829	0.000235	0.000007	0.000007	0.001072	0.000145	0	0	0.000020	0.000020	0	0	0	0	0	0	0.000120	0.000049	0.000519	0.000101	0	0	0	0	0.000018	0.000018	0.038445	0.000850	0.000033	0.000024	0	0	0.032926	0.000785	0.000968	0.000134	0.000175	0.000057	0.000066	0.000035	0.003484	0.000259	0.000283	0.000075	0	0	0.008300	0.000400	0	0	0.004149	0.000285	0.000051	0.000030	0.000040	0.000028	0.000020	0.000020	0	0	0	0	0	0	0	0	0.000020	0.000020	0.010178	0.000442	0.076451	0.001180	0	0	0.001413	0.000165	0	0	0	0	0.000293	0.000074	0.000064	0.000035	0.000080	0.000040	
8.8000	0.0207	0.0006	2.8582	0.000240	0.000069	0	0	0.226287	0.001868	0	0	0	0	0	0	0.000020	0.000020	0.000029	0.000022	0.189691	0.001750	0.249153	0.001932	0.000120	0.000047	0	0	0.012236	0.000487	0	0	0.000080	0.000040	0.133886	0.001519	0	0	0.011022	0.000462	0	0	0	0	0	0	0.002730	0.000230	0.000020	0.000020	0.001060	0.000144	0	0	0.000020	0.000020	0	0	0	0	0	0	0.000126	0.000049	0.000516	0.000099	0	0	0	0	0.000020	0.000020	0.037697	0.000843	0.000020	0.000020	0	0	0.031969	0.000774	0.000881	0.000130	0.000127	0.000050	0.000089	0.000037	0.003446	0.000258	0.000232	0.000066	0	0	0.008128	0.000395	0	0	0.003942	0.000276	0.000040	0.000028	0.000031	0.000023	0.000020	0.000020	0	0	0	0	0	0	0	0	0.000020	0.000020	0.009933	0.000437	0.074406	0.001165	0	0	0.001397	0.000165	0	0	0	0	0.000246	0.000069	0.000060	0.000035	0.000061	0.000031	
8.9000	0.0195	0.0006	2.8405	0.000240	0.000069	0	0	0.229587	0.001878	0	0	0	0	0	0	0.000020	0.000020	0.000040	0.000028	0.190035	0.001752	0.251175	0.001937	0.000102	0.000045	0	0	0.011858	0.000478	0	0	0.000061	0.000035	0.133925	0.001520	0.000009	0.000009	0.010408	0.000449	0	0	0	0	0	0	0.002570	0.000223	0.000020	0.000020	0.000979	0.000139	0	0	0.000020	0.000020	0	0	0	0	0	0	0.000144	0.000052	0.000479	0.000097	0	0	0	0	0.000020	0.000020	0.036772	0.000832	0.000020	0.000020	0	0	0.031432	0.000768	0.000856	0.000127	0.000115	0.000047	0.000115	0.000045	0.003461	0.000259	0.000200	0.000062	0	0	0.008001	0.000393	0	0	0.003836	0.000273	0.000040	0.000028	0.000020	0.000020	0.000011	0.000011	0	0	0	0	0	0	0	0	0.000020	0.000020	0.009929	0.000437	0.071849	0.001147	0	0	0.001347	0.000161	0	0	0	0	0.000218	0.000064	0.000060	0.000035	0.000006	0.000005	
9.0000	0.0188	0.0006	2.8243	0.000229	0.000067	0	0	0.232444	0.001886	0	0	0	0	0	0	0.000018	0.000013	0.000023	0.000020	0.190345	0.001753	0.253505	0.001944	0.000120	0.000049	0	0	0.011443	0.000470	0	0	0.000053	0.000031	0.134041	0.001520	0.000020	0.000020	0.010066	0.000441	0	0	0	0	0	0	0.002630	0.000225	0.000020	0.000020	0.000945	0.000136	0	0	0.000020	0.000020	0	0	0	0	0	0	0.000145	0.000053	0.000479	0.000096	0	0	0	0	0.000030	0.000022	0.035498	0.000816	0.000020	0.000020	0	0	0.031377	0.000767	0.000938	0.000132	0.000117	0.000048	0.000120	0.000049	0.003338	0.000255	0.000218	0.000063	0	0	0.007564	0.000381	0	0	0.003731	0.000269	0.000004	0.000003	0.000020	0.000020	0	0	0	0	0	0	0	0	0	0	0.000020	0.000020	0.009873	0.000437	0.069094	0.001127	0	0	0.001257	0.000155	0	0	0	0	0.000175	0.000056	0.000060	0.000035	0	0	
9.1000	0.0184	0.0006	2.8091	0.000206	0.000064	0	0	0.235387	0.001894	0	0	0	0	0	0	0.000020	0.000020	0.000020	0.000020	0.190516	0.001754	0.255424	0.001948	0.000125	0.000049	0	0	0.011112	0.000464	0	0	0.000040	0.000028	0.133930	0.001521	0.000020	0.000020	0.009691	0.000431	0	0	0	0	0	0	0.002607	0.000224	0.000020	0.000020	0.000888	0.000131	0	0	0.000020	0.000020	0	0	0	0	0	0	0.000160	0.000057	0.000486	0.000098	0	0	0	0	0.000044	0.000029	0.034332	0.000804	0.000020	0.000020	0	0	0.031132	0.000765	0.001013	0.000138	0.000119	0.000049	0.000134	0.000051	0.003356	0.000255	0.000186	0.000060	0	0	0.007408	0.000378	0	0	0.003592	0.000263	0.000013	0.000012	0.000008	0.000008	0	0	0	0	0	0	0	0	0	0	0.000020	0.000020	0.009429	0.000427	0.067105	0.001112	0	0	0.001201	0.000153	0	0	0	0	0.000164	0.000056	0.000053	0.000031	0	0	
9.2000	0.0179	0.0006	2.7919	0.000198	0.000063	0	0	0.238395	0.001903	0	0	0	0	0	0	0.000016	0.000016	0.000020	0.000020	0.190395	0.001753	0.257274	0.001953	0.000125	0.000049	0	0	0.011137	0.000465	0	0	0.000040	0.000028	0.133990	0.001521	0.000020	0.000020	0.009362	0.000426	0	0	0	0	0	0	0.002606	0.000225	0.000020	0.000020	0.000824	0.000127	0	0	0.000020	0.000020	0	0	0	0	0	0	0.000112	0.000045	0.000455	0.000093	0	0	0	0	0.000060	0.000035	0.033495	0.000795	0.000039	0.000027	0	0	0.030498	0.000756	0.000907	0.000130	0.000087	0.000041	0.000158	0.000055	0.003065	0.000243	0.000154	0.000054	0	0	0.007181	0.000372	0	0	0.003463	0.000259	0.000040	0.000028	0	0	0	0	0	0	0	0	0	0	0	0	0.000001	0.000001	0.008938	0.000416	0.065488	0.001100	0	0	0.001202	0.000153	0	0	0	0	0.000155	0.000054	0.000060	0.000035	0	0	
9.3000	0.0176	0.0006	2.7760	0.000178	0.000058	0	0	0.241170	0.001911	0.000007	0.000007	0	0	0	0	0.000009	0.000009	0.000012	0.000012	0.190510	0.001754	0.259221	0.001958	0.000120	0.000049	0	0	0.010921	0.000460	0	0	0.000040	0.000028	0.133930	0.001521	0.000009	0.000009	0.009110	0.000420	0	0	0	0	0	0	0.002576	0.000224	0.000013	0.000013	0.000809	0.000124	0	0	0.000020	0.000020	0	0	0	0	0	0	0.000100	0.000045	0.000416	0.000090	0	0	0	0	0.000060	0.000035	0.032501	0.000783	0.000036	0.000026	0	0	0.030037	0.000753	0.000859	0.000128	0.000088	0.000041	0.000162	0.000057	0.002859	0.000237	0.000160	0.000057	0	0	0.007064	0.000369	0	0	0.003318	0.000254	0.000030	0.000022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008829	0.000413	0.063455	0.001084	0.000004	0.000004	0.001146	0.000150	0	0	0	0	0.000157	0.000053	0.000064	0.000033	0	0	
