Time	TH	ErrTH	H	Prob[Metastasis--EMT--Invasion]	ErrProb[Metastasis--EMT--Invasion]	Prob[EMT--Invasion--Apoptosis]	ErrProb[EMT--Invasion--Apoptosis]	Prob[EMT--CCA]	ErrProb[EMT--CCA]	Prob[Migration--Metastasis--EMT--Invasion]	ErrProb[Migration--Metastasis--EMT--Invasion]	Prob[EMT]	ErrProb[EMT]	Prob[Invasion]	ErrProb[Invasion]	Prob[Migration--Metastasis--EMT]	ErrProb[Migration--Metastasis--EMT]	Prob[Metastasis--EMT--CCA]	ErrProb[Metastasis--EMT--CCA]	Prob[Migration--EMT--Invasion--Apoptosis]	ErrProb[Migration--EMT--Invasion--Apoptosis]	Prob[Migration--EMT--Invasion--CCA]	ErrProb[Migration--EMT--Invasion--CCA]	Prob[EMT--Invasion--Apoptosis--CCA]	ErrProb[EMT--Invasion--Apoptosis--CCA]	Prob[EMT--Apoptosis]	ErrProb[EMT--Apoptosis]	Prob[Invasion--Apoptosis--CCA]	ErrProb[Invasion--Apoptosis--CCA]	Prob[Migration--EMT--Invasion--Apoptosis--CCA]	ErrProb[Migration--EMT--Invasion--Apoptosis--CCA]	Prob[Migration--EMT--Invasion]	ErrProb[Migration--EMT--Invasion]	Prob[Migration--EMT--Apoptosis--CCA]	ErrProb[Migration--EMT--Apoptosis--CCA]	Prob[EMT--Apoptosis--CCA]	ErrProb[EMT--Apoptosis--CCA]	Prob[Metastasis--EMT--Invasion--CCA]	ErrProb[Metastasis--EMT--Invasion--CCA]	Prob[Metastasis--EMT]	ErrProb[Metastasis--EMT]	Prob[CCA]	ErrProb[CCA]	Prob[Migration--Metastasis--EMT--CCA]	ErrProb[Migration--Metastasis--EMT--CCA]	Prob[Apoptosis--CCA]	ErrProb[Apoptosis--CCA]	Prob[EMT--Invasion--CCA]	ErrProb[EMT--Invasion--CCA]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis]	Prob[Migration--EMT]	ErrProb[Migration--EMT]	Prob[EMT--Invasion]	ErrProb[EMT--Invasion]	Prob[<nil>]	ErrProb[<nil>]	Prob[Migration--Metastasis--EMT--Invasion--Apoptosis--CCA]	ErrProb[Migration--Metastasis--EMT--Invasion--Apoptosis--CCA]	Prob[Invasion--Apoptosis]	ErrProb[Invasion--Apoptosis]	Prob[Migration--EMT--CCA]	ErrProb[Migration--EMT--CCA]	Prob[Invasion--CCA]	ErrProb[Invasion--CCA]	Prob[Migration--Metastasis--EMT--Invasion--CCA]	ErrProb[Migration--Metastasis--EMT--Invasion--CCA]	Prob[Apoptosis]	ErrProb[Apoptosis]	
0.0000	0.8387	0.0013	0.5404	0	0	0	0	0	0	0	0	0.000005	0.000005	0.000017	0.000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.043985	0.000744	0	0	0.002946	0.000172	0	0	0	0	0	0	0	0	0.910526	0.001031	0	0	0	0	0	0	0.000015	0.000015	0	0	0.042505	0.000731	
0.1000	0.5972	0.0020	1.0977	0	0	0	0	0	0	0	0	0.000029	0.000021	0.000457	0.000082	0	0	0	0	0	0	0	0	0	0	0	0	0.000007	0.000007	0	0	0	0	0	0	0	0	0	0	0	0	0.112462	0.001324	0	0	0.017076	0.000522	0	0	0	0	0	0	0	0	0.765146	0.001781	0	0	0.000004	0.000004	0	0	0.000049	0.000026	0	0	0.104770	0.001286	
0.2000	0.4418	0.0021	1.4185	0	0	0	0	0.000028	0.000022	0	0	0.000097	0.000040	0.001517	0.000159	0	0	0	0	0	0	0	0	0	0	0	0	0.000052	0.000025	0	0	0	0	0	0	0	0	0	0	0	0	0.159020	0.001570	0	0	0.038699	0.000814	0	0	0	0	0	0	0	0	0.658716	0.002042	0	0	0.000076	0.000032	0	0	0.000093	0.000041	0	0	0.141703	0.001500	
0.3000	0.3428	0.0020	1.6271	0	0	0	0	0.000089	0.000036	0	0	0.000302	0.000070	0.003129	0.000236	0	0	0	0	0	0	0	0	0	0	0	0	0.000063	0.000035	0	0	0	0	0	0	0.000003	0.000003	0	0	0	0	0.191675	0.001707	0	0	0.063614	0.001046	0	0	0	0	0	0	0.000019	0.000012	0.579723	0.002146	0	0	0.000158	0.000053	0	0	0.000279	0.000066	0	0	0.160945	0.001593	
0.4000	0.2775	0.0019	1.7771	0	0	0.000009	0.000009	0.000232	0.000064	0	0	0.000575	0.000100	0.005088	0.000301	0	0	0	0	0	0	0	0	0	0	0.000038	0.000024	0.000102	0.000043	0	0	0	0	0	0	0.000020	0.000020	0	0	0	0	0.214581	0.001789	0	0	0.088585	0.001233	0.000014	0.000010	0	0	0	0	0.000157	0.000049	0.518879	0.002183	0	0	0.000394	0.000082	0	0	0.000746	0.000113	0	0	0.170579	0.001641	
0.5000	0.2326	0.0018	1.8878	0	0	0.000024	0.000020	0.000556	0.000099	0	0	0.000748	0.000114	0.007442	0.000371	0	0	0	0	0	0	0	0	0	0	0.000115	0.000045	0.000196	0.000058	0	0	0	0	0	0	0.000021	0.000020	0	0	0	0	0.231704	0.001844	0	0	0.111992	0.001373	0.000121	0.000044	0	0	0	0	0.000318	0.000076	0.470962	0.002188	0	0	0.000635	0.000102	0	0	0.001209	0.000149	0	0	0.173956	0.001658	
0.6000	0.2039	0.0018	1.9716	0	0	0.000057	0.000033	0.000745	0.000119	0	0	0.001350	0.000153	0.009734	0.000425	0	0	0	0	0	0	0	0	0	0	0.000112	0.000046	0.000286	0.000072	0	0	0	0	0	0	0.000047	0.000029	0	0	0	0	0.243543	0.001883	0	0	0.134462	0.001494	0.000225	0.000063	0	0	0	0	0.000527	0.000099	0.435567	0.002180	0	0	0.001145	0.000144	0	0	0.001913	0.000185	0	0	0.170284	0.001649	
0.7000	0.1842	0.0017	2.0425	0	0	0.000049	0.000029	0.001034	0.000138	0	0	0.002053	0.000194	0.012184	0.000473	0	0	0	0	0	0	0	0	0.000001	0.000001	0.000140	0.000048	0.000523	0.000096	0	0	0	0	0	0	0.000134	0.000050	0	0	0	0	0.252355	0.001907	0	0	0.153982	0.001582	0.000428	0.000087	0	0	0	0	0.000785	0.000119	0.407044	0.002163	0	0	0.001632	0.000175	0	0	0.003017	0.000233	0	0	0.164638	0.001628	
0.8000	0.1700	0.0017	2.0994	0	0	0.000057	0.000031	0.001541	0.000168	0	0	0.002350	0.000208	0.014996	0.000529	0	0	0	0	0	0	0	0	0.000033	0.000022	0.000219	0.000064	0.000820	0.000122	0	0	0	0	0	0	0.000171	0.000056	0	0	0	0	0.258902	0.001925	0	0	0.171616	0.001656	0.000717	0.000116	0	0	0	0	0.001220	0.000150	0.384152	0.002142	0	0	0.001911	0.000188	0	0	0.003930	0.000270	0	0	0.157365	0.001598	
0.9000	0.1574	0.0016	2.1448	0	0	0.000120	0.000046	0.002032	0.000194	0	0	0.002803	0.000228	0.016543	0.000556	0	0	0	0	0	0	0	0	0.000089	0.000040	0.000307	0.000074	0.001034	0.000137	0	0	0	0	0	0	0.000193	0.000061	0	0	0	0	0.263891	0.001939	0	0	0.187526	0.001719	0.001084	0.000143	0	0	0	0	0.001729	0.000178	0.366066	0.002124	0	0	0.002314	0.000207	0	0	0.005119	0.000308	0	0	0.149150	0.001565	
1.0000	0.1482	0.0016	2.1854	0	0	0.000149	0.000051	0.002747	0.000226	0	0	0.003130	0.000240	0.018336	0.000587	0	0	0	0	0	0	0	0	0.000101	0.000043	0.000342	0.000081	0.001366	0.000161	0.000017	0.000017	0.000022	0.000016	0	0	0.000205	0.000063	0	0	0	0	0.268205	0.001952	0	0	0.200167	0.001765	0.001546	0.000171	0	0	0	0	0.002474	0.000215	0.351137	0.002107	0	0	0.002703	0.000225	0	0	0.006179	0.000341	0	0	0.141173	0.001531	
1.1000	0.1393	0.0016	2.2199	0	0	0.000195	0.000060	0.003539	0.000260	0	0	0.003659	0.000260	0.020001	0.000612	0	0	0	0	0	0	0.000028	0.000018	0.000120	0.000049	0.000311	0.000077	0.001825	0.000184	0.000020	0.000020	0.000060	0.000035	0	0	0.000276	0.000072	0	0	0	0	0.270404	0.001957	0	0	0.211293	0.001802	0.002084	0.000199	0	0	0	0	0.002817	0.000232	0.340260	0.002091	0	0	0.003015	0.000236	0	0	0.007308	0.000371	0	0	0.132784	0.001493	
1.2000	0.1324	0.0015	2.2511	0	0	0.000256	0.000070	0.004338	0.000287	0.000011	0.000011	0.004408	0.000288	0.021204	0.000631	0	0	0	0	0	0	0.000107	0.000042	0.000128	0.000047	0.000311	0.000075	0.002324	0.000208	0.000040	0.000028	0.000069	0.000035	0	0	0.000283	0.000069	0	0	0	0	0.272776	0.001965	0	0	0.221382	0.001835	0.002504	0.000218	0	0	0	0	0.003406	0.000252	0.329604	0.002078	0	0	0.003102	0.000240	0	0	0.008417	0.000397	0	0	0.125331	0.001458	
1.3000	0.1257	0.0015	2.2771	0	0	0.000334	0.000078	0.005192	0.000314	0.000020	0.000020	0.004877	0.000304	0.022516	0.000649	0	0	0	0	0	0	0.000160	0.000054	0.000182	0.000057	0.000270	0.000068	0.002669	0.000224	0.000040	0.000028	0.000099	0.000042	0	0	0.000334	0.000078	0	0	0	0	0.274172	0.001969	0	0	0.230390	0.001862	0.002925	0.000235	0	0	0	0	0.003935	0.000273	0.321074	0.002064	0	0	0.003219	0.000245	0	0	0.009593	0.000425	0	0	0.118000	0.001420	
1.4000	0.1209	0.0015	2.3030	0	0	0.000329	0.000077	0.006194	0.000340	0.000028	0.000022	0.005442	0.000319	0.023431	0.000665	0	0	0	0	0.000016	0.000016	0.000268	0.000069	0.000229	0.000065	0.000345	0.000079	0.003092	0.000243	0.000040	0.000028	0.000149	0.000051	0	0	0.000364	0.000080	0	0	0	0	0.275023	0.001972	0	0	0.237590	0.001884	0.003668	0.000262	0	0	0	0	0.004423	0.000290	0.314355	0.002054	0	0	0.003278	0.000249	0	0	0.010626	0.000447	0.000007	0.000006	0.111100	0.001384	
1.5000	0.1165	0.0015	2.3268	0	0	0.000295	0.000075	0.007305	0.000373	0.000072	0.000036	0.005740	0.000328	0.023493	0.000666	0	0	0	0	0.000020	0.000020	0.000416	0.000089	0.000260	0.000072	0.000378	0.000083	0.003507	0.000260	0.000040	0.000028	0.000177	0.000055	0	0	0.000379	0.000086	0	0	0	0	0.274764	0.001972	0	0	0.244255	0.001903	0.004567	0.000295	0	0	0	0	0.005158	0.000313	0.309693	0.002047	0	0	0.003409	0.000253	0	0	0.012206	0.000479	0.000040	0.000028	0.103827	0.001343	
1.6000	0.1124	0.0014	2.3485	0	0	0.000312	0.000075	0.008214	0.000395	0.000100	0.000045	0.006050	0.000338	0.023586	0.000666	0	0	0	0	0.000020	0.000020	0.000516	0.000097	0.000294	0.000075	0.000435	0.000090	0.003969	0.000275	0.000042	0.000028	0.000241	0.000066	0	0	0.000465	0.000094	0	0	0	0	0.275282	0.001973	0	0	0.250089	0.001918	0.005641	0.000327	0	0	0.000004	0.000004	0.005575	0.000326	0.304766	0.002038	0	0	0.003518	0.000258	0	0	0.013659	0.000507	0.000088	0.000040	0.097134	0.001305	
1.7000	0.1080	0.0014	2.3698	0	0	0.000347	0.000080	0.008967	0.000414	0.000100	0.000045	0.006631	0.000354	0.023538	0.000667	0	0	0	0	0.000020	0.000020	0.000678	0.000113	0.000312	0.000076	0.000503	0.000097	0.004367	0.000290	0.000075	0.000038	0.000303	0.000075	0	0	0.000454	0.000090	0	0	0	0	0.275171	0.001973	0	0	0.255098	0.001931	0.006817	0.000360	0	0	0.000020	0.000020	0.006290	0.000346	0.300691	0.002031	0.000003	0.000003	0.003686	0.000264	0.000019	0.000019	0.014740	0.000528	0.000110	0.000046	0.091060	0.001267	
1.8000	0.1043	0.0014	2.3878	0	0	0.000361	0.000083	0.009664	0.000429	0.000120	0.000047	0.006886	0.000362	0.023516	0.000666	0.000005	0.000005	0	0	0.000031	0.000023	0.000936	0.000130	0.000381	0.000086	0.000495	0.000096	0.004548	0.000293	0.000051	0.000030	0.000328	0.000078	0	0	0.000527	0.000101	0	0	0	0	0.275079	0.001973	0.000011	0.000011	0.259044	0.001942	0.008216	0.000393	0	0	0.000033	0.000024	0.006939	0.000363	0.297173	0.002025	0.000020	0.000020	0.003560	0.000260	0.000020	0.000020	0.015769	0.000545	0.000168	0.000054	0.086120	0.001237	
1.9000	0.1007	0.0014	2.4035	0	0	0.000334	0.000080	0.010580	0.000449	0.000151	0.000054	0.007249	0.000371	0.023139	0.000661	0.000020	0.000020	0	0	0.000020	0.000020	0.001280	0.000155	0.000454	0.000091	0.000465	0.000093	0.004846	0.000304	0.000076	0.000036	0.000367	0.000081	0	0	0.000492	0.000093	0	0	0	0	0.273784	0.001971	0.000020	0.000020	0.263989	0.001954	0.009320	0.000420	0	0	0.000020	0.000020	0.007475	0.000378	0.294141	0.002019	0.000020	0.000020	0.003324	0.000249	0.000020	0.000020	0.017054	0.000565	0.000302	0.000076	0.081058	0.001201	
2.0000	0.0959	0.0013	2.4188	0	0	0.000363	0.000083	0.011633	0.000471	0.000234	0.000065	0.007400	0.000375	0.022710	0.000655	0.000034	0.000025	0	0	0.000020	0.000020	0.001624	0.000176	0.000485	0.000096	0.000407	0.000086	0.005091	0.000313	0.000066	0.000035	0.000349	0.000078	0	0	0.000528	0.000102	0	0	0	0	0.271638	0.001966	0.000020	0.000020	0.268543	0.001966	0.010713	0.000452	0	0	0.000011	0.000008	0.007773	0.000386	0.292002	0.002016	0.000020	0.000020	0.003237	0.000247	0.000026	0.000021	0.018680	0.000593	0.000389	0.000086	0.076004	0.001168	
2.1000	0.0923	0.0013	2.4362	0	0	0.000362	0.000082	0.012789	0.000494	0.000240	0.000069	0.007741	0.000384	0.022339	0.000648	0.000040	0.000028	0	0	0.000020	0.000020	0.001934	0.000188	0.000552	0.000101	0.000424	0.000091	0.005467	0.000325	0.000053	0.000031	0.000401	0.000088	0	0	0.000470	0.000093	0	0	0	0	0.269994	0.001964	0.000020	0.000020	0.273102	0.001978	0.012008	0.000477	0	0	0.000020	0.000020	0.008197	0.000396	0.288197	0.002009	0.000039	0.000028	0.002970	0.000236	0.000048	0.000028	0.020064	0.000615	0.000559	0.000102	0.071952	0.001138	
2.2000	0.0885	0.0013	2.4490	0.000004	0.000004	0.000383	0.000085	0.013819	0.000514	0.000209	0.000061	0.007778	0.000384	0.021555	0.000637	0.000052	0.000030	0	0	0.000030	0.000022	0.002504	0.000215	0.000544	0.000101	0.000378	0.000086	0.005519	0.000326	0.000074	0.000037	0.000548	0.000096	0	0	0.000444	0.000092	0	0	0.000004	0.000004	0.267707	0.001959	0.000020	0.000020	0.278246	0.001989	0.013326	0.000502	0.000005	0.000005	0.000032	0.000023	0.008496	0.000401	0.285411	0.002004	0.000027	0.000021	0.002749	0.000227	0.000063	0.000035	0.021523	0.000637	0.000816	0.000123	0.067735	0.001108	
2.3000	0.0855	0.0013	2.4618	0.000018	0.000018	0.000388	0.000086	0.014674	0.000531	0.000276	0.000071	0.007648	0.000383	0.020962	0.000629	0.000045	0.000029	0.000021	0.000015	0.000014	0.000010	0.002991	0.000238	0.000462	0.000095	0.000365	0.000083	0.005785	0.000335	0.000080	0.000040	0.000590	0.000101	0	0	0.000520	0.000099	0.000016	0.000016	0.000020	0.000020	0.265175	0.001953	0.000013	0.000011	0.283589	0.002002	0.014687	0.000529	0.000020	0.000020	0.000047	0.000029	0.008918	0.000413	0.282697	0.001998	0.000050	0.000030	0.002617	0.000223	0.000084	0.000038	0.022530	0.000652	0.001160	0.000147	0.063538	0.001075	
2.4000	0.0828	0.0013	2.4705	0	0	0.000323	0.000076	0.015596	0.000547	0.000291	0.000074	0.007753	0.000385	0.020241	0.000620	0.000081	0.000038	0.000040	0.000028	0	0	0.003422	0.000253	0.000442	0.000090	0.000334	0.000080	0.005990	0.000341	0.000080	0.000038	0.000654	0.000112	0	0	0.000487	0.000096	0.000020	0.000020	0.000020	0.000020	0.261970	0.001947	0.000020	0.000012	0.288441	0.002014	0.016010	0.000551	0.000020	0.000020	0.000033	0.000024	0.009450	0.000426	0.281701	0.001997	0.000060	0.000035	0.002477	0.000217	0.000147	0.000051	0.023541	0.000668	0.001498	0.000169	0.058857	0.001038	
2.5000	0.0796	0.0012	2.4807	0	0	0.000261	0.000070	0.016255	0.000559	0.000327	0.000079	0.007883	0.000388	0.019475	0.000607	0.000086	0.000040	0.000040	0.000028	0	0	0.003940	0.000272	0.000428	0.000090	0.000365	0.000080	0.006206	0.000347	0.000099	0.000041	0.000686	0.000111	0	0	0.000492	0.000097	0.000020	0.000020	0.000025	0.000021	0.258816	0.001940	0.000094	0.000041	0.292931	0.002023	0.017254	0.000573	0.000020	0.000020	0.000030	0.000021	0.009584	0.000428	0.280050	0.001995	0.000076	0.000036	0.002367	0.000211	0.000163	0.000055	0.024700	0.000683	0.001874	0.000189	0.055453	0.001010	
2.6000	0.0765	0.0012	2.4907	0.000006	0.000006	0.000197	0.000059	0.016842	0.000569	0.000374	0.000085	0.008035	0.000392	0.018627	0.000596	0.000080	0.000040	0.000043	0.000028	0.000016	0.000016	0.004437	0.000287	0.000455	0.000093	0.000412	0.000089	0.006332	0.000349	0.000097	0.000042	0.000843	0.000123	0	0	0.000499	0.000097	0.000021	0.000020	0.000040	0.000028	0.255689	0.001932	0.000141	0.000051	0.297322	0.002033	0.018305	0.000590	0.000020	0.000020	0.000040	0.000028	0.009846	0.000435	0.278199	0.001990	0.000088	0.000041	0.002236	0.000207	0.000133	0.000049	0.025651	0.000697	0.002293	0.000211	0.052681	0.000985	
2.7000	0.0742	0.0012	2.4968	0.000020	0.000020	0.000189	0.000059	0.017745	0.000582	0.000460	0.000093	0.008017	0.000392	0.017845	0.000581	0.000080	0.000040	0.000040	0.000028	0.000020	0.000020	0.005162	0.000312	0.000513	0.000099	0.000380	0.000087	0.006135	0.000345	0.000103	0.000042	0.000877	0.000125	0.000006	0.000006	0.000603	0.000106	0.000040	0.000028	0.000040	0.000028	0.251733	0.001923	0.000156	0.000055	0.302842	0.002042	0.019289	0.000605	0.000020	0.000020	0.000035	0.000025	0.009799	0.000433	0.276618	0.001989	0.000081	0.000038	0.002123	0.000201	0.000129	0.000049	0.026098	0.000703	0.002718	0.000229	0.050084	0.000962	
2.8000	0.0715	0.0012	2.5063	0.000021	0.000020	0.000194	0.000059	0.018633	0.000597	0.000571	0.000103	0.008379	0.000400	0.017246	0.000571	0.000071	0.000036	0.000042	0.000028	0.000011	0.000011	0.005818	0.000331	0.000530	0.000101	0.000388	0.000087	0.006171	0.000345	0.000085	0.000040	0.000945	0.000132	0.000020	0.000020	0.000667	0.000112	0.000046	0.000029	0.000040	0.000028	0.248486	0.001916	0.000196	0.000061	0.307429	0.002053	0.020941	0.000629	0.000020	0.000020	0.000032	0.000022	0.009617	0.000430	0.274420	0.001984	0.000059	0.000034	0.001926	0.000191	0.000149	0.000054	0.026407	0.000706	0.003234	0.000249	0.047206	0.000935	
2.9000	0.0693	0.0012	2.5134	0.000039	0.000028	0.000238	0.000066	0.019704	0.000614	0.000591	0.000106	0.008484	0.000404	0.016521	0.000559	0.000093	0.000042	0.000072	0.000037	0	0	0.006559	0.000351	0.000558	0.000104	0.000386	0.000086	0.005867	0.000336	0.000095	0.000041	0.001031	0.000137	0.000020	0.000020	0.000585	0.000106	0.000040	0.000028	0.000038	0.000027	0.244096	0.001903	0.000230	0.000066	0.312530	0.002062	0.022377	0.000650	0.000020	0.000020	0.000060	0.000035	0.009447	0.000425	0.272952	0.001980	0.000040	0.000028	0.001881	0.000189	0.000131	0.000048	0.026668	0.000710	0.003863	0.000273	0.044787	0.000913	
3.0000	0.0671	0.0011	2.5199	0.000040	0.000028	0.000236	0.000068	0.020764	0.000631	0.000632	0.000111	0.008403	0.000402	0.015709	0.000546	0.000071	0.000033	0.000093	0.000042	0	0	0.007319	0.000372	0.000557	0.000104	0.000353	0.000082	0.005778	0.000334	0.000130	0.000049	0.001034	0.000139	0.000020	0.000020	0.000620	0.000108	0.000021	0.000020	0.000029	0.000021	0.238172	0.001887	0.000293	0.000074	0.318168	0.002073	0.023610	0.000668	0.000002	0.000002	0.000069	0.000034	0.009559	0.000428	0.272158	0.001979	0.000052	0.000029	0.001747	0.000182	0.000168	0.000055	0.027103	0.000715	0.004535	0.000296	0.042557	0.000891	
3.1000	0.0650	0.0011	2.5237	0.000040	0.000028	0.000229	0.000067	0.021748	0.000644	0.000669	0.000114	0.008220	0.000397	0.014673	0.000528	0.000040	0.000028	0.000173	0.000056	0.000001	0.000001	0.008072	0.000389	0.000559	0.000103	0.000310	0.000078	0.005681	0.000331	0.000113	0.000046	0.001146	0.000147	0	0	0.000702	0.000115	0.000020	0.000020	0.000003	0.000003	0.234010	0.001877	0.000279	0.000072	0.322855	0.002081	0.024789	0.000683	0	0	0.000080	0.000040	0.009756	0.000431	0.271197	0.001978	0.000061	0.000035	0.001599	0.000175	0.000208	0.000060	0.027173	0.000718	0.005272	0.000320	0.040321	0.000867	
3.2000	0.0620	0.0011	2.5278	0.000040	0.000028	0.000207	0.000062	0.022799	0.000661	0.000767	0.000122	0.008299	0.000399	0.014311	0.000523	0.000044	0.000029	0.000200	0.000063	0.000025	0.000021	0.009113	0.000414	0.000527	0.000101	0.000258	0.000070	0.005474	0.000326	0.000105	0.000045	0.001180	0.000149	0	0	0.000634	0.000110	0.000020	0.000020	0	0	0.228819	0.001861	0.000322	0.000079	0.328195	0.002090	0.025612	0.000695	0	0	0.000051	0.000030	0.009597	0.000430	0.270327	0.001976	0.000045	0.000029	0.001568	0.000173	0.000233	0.000065	0.027302	0.000718	0.006080	0.000343	0.037843	0.000843	
3.3000	0.0596	0.0011	2.5293	0.000040	0.000028	0.000172	0.000056	0.023582	0.000672	0.000780	0.000123	0.008329	0.000400	0.013864	0.000513	0.000056	0.000032	0.000198	0.000061	0.000025	0.000021	0.009801	0.000428	0.000487	0.000097	0.000279	0.000073	0.005422	0.000325	0.000123	0.000048	0.001091	0.000142	0	0	0.000591	0.000106	0.000025	0.000021	0.000004	0.000004	0.223563	0.001847	0.000322	0.000077	0.333783	0.002099	0.026565	0.000708	0	0	0.000040	0.000028	0.009534	0.000427	0.269696	0.001975	0.000021	0.000020	0.001525	0.000171	0.000284	0.000073	0.027262	0.000719	0.007293	0.000374	0.035243	0.000814	
3.4000	0.0574	0.0011	2.5329	0.000063	0.000033	0.000188	0.000061	0.024288	0.000682	0.000778	0.000122	0.008216	0.000398	0.013252	0.000503	0.000033	0.000024	0.000252	0.000070	0.000020	0.000020	0.010750	0.000450	0.000387	0.000084	0.000260	0.000071	0.005367	0.000324	0.000166	0.000055	0.001044	0.000139	0	0	0.000626	0.000109	0.000047	0.000029	0.000008	0.000007	0.218472	0.001832	0.000302	0.000077	0.338587	0.002107	0.027722	0.000722	0	0	0.000060	0.000034	0.009634	0.000430	0.268827	0.001974	0.000020	0.000020	0.001397	0.000163	0.000260	0.000070	0.027229	0.000718	0.008310	0.000402	0.033434	0.000794	
3.5000	0.0551	0.0010	2.5373	0.000058	0.000034	0.000192	0.000060	0.024795	0.000690	0.000747	0.000119	0.008365	0.000401	0.012754	0.000492	0.000050	0.000028	0.000248	0.000070	0.000023	0.000020	0.011816	0.000471	0.000303	0.000075	0.000257	0.000070	0.005092	0.000314	0.000166	0.000054	0.001061	0.000140	0.000001	0.000001	0.000596	0.000106	0.000051	0.000030	0.000020	0.000020	0.213424	0.001817	0.000317	0.000078	0.343736	0.002115	0.028704	0.000734	0	0	0.000062	0.000033	0.009528	0.000427	0.267158	0.001970	0.000036	0.000026	0.001401	0.000165	0.000292	0.000074	0.027160	0.000716	0.009516	0.000429	0.032070	0.000776	
3.6000	0.0532	0.0010	2.5393	0.000040	0.000028	0.000200	0.000063	0.025497	0.000698	0.000756	0.000122	0.008175	0.000397	0.012183	0.000481	0.000065	0.000035	0.000236	0.000067	0.000020	0.000020	0.012935	0.000493	0.000339	0.000078	0.000247	0.000069	0.004898	0.000308	0.000186	0.000059	0.001128	0.000145	0	0	0.000508	0.000098	0.000029	0.000022	0.000035	0.000025	0.208506	0.001802	0.000369	0.000084	0.348838	0.002123	0.029602	0.000746	0	0	0.000031	0.000023	0.009567	0.000429	0.265620	0.001967	0.000040	0.000028	0.001249	0.000153	0.000274	0.000071	0.027063	0.000716	0.010666	0.000454	0.030696	0.000761	
3.7000	0.0513	0.0010	2.5394	0.000032	0.000023	0.000187	0.000060	0.026088	0.000707	0.000771	0.000120	0.007882	0.000390	0.011719	0.000474	0.000060	0.000035	0.000282	0.000074	0.000020	0.000020	0.013724	0.000509	0.000333	0.000080	0.000271	0.000072	0.004874	0.000308	0.000184	0.000058	0.001194	0.000150	0	0	0.000461	0.000095	0.000011	0.000011	0.000049	0.000030	0.202918	0.001785	0.000447	0.000091	0.353772	0.002130	0.030584	0.000757	0	0	0.000012	0.000012	0.009374	0.000425	0.265370	0.001967	0.000075	0.000036	0.001115	0.000145	0.000233	0.000064	0.026765	0.000713	0.012056	0.000483	0.029138	0.000741	
3.8000	0.0490	0.0010	2.5367	0.000040	0.000028	0.000172	0.000057	0.026474	0.000712	0.000833	0.000126	0.007553	0.000381	0.010918	0.000456	0.000040	0.000028	0.000331	0.000079	0.000020	0.000020	0.014499	0.000524	0.000317	0.000076	0.000221	0.000063	0.004748	0.000304	0.000200	0.000063	0.001168	0.000148	0	0	0.000451	0.000094	0	0	0.000046	0.000029	0.197144	0.001764	0.000458	0.000094	0.358774	0.002137	0.031318	0.000768	0	0	0	0	0.009435	0.000425	0.265496	0.001966	0.000080	0.000040	0.001036	0.000141	0.000209	0.000062	0.026852	0.000715	0.013566	0.000513	0.027604	0.000723	
3.9000	0.0469	0.0010	2.5347	0.000063	0.000033	0.000178	0.000056	0.026895	0.000717	0.000833	0.000126	0.007403	0.000378	0.010101	0.000440	0.000059	0.000031	0.000365	0.000084	0.000020	0.000020	0.015921	0.000547	0.000330	0.000080	0.000220	0.000066	0.004532	0.000297	0.000196	0.000060	0.001260	0.000152	0	0	0.000422	0.000091	0	0	0.000028	0.000022	0.191954	0.001748	0.000458	0.000092	0.363673	0.002144	0.031323	0.000767	0	0	0	0	0.009154	0.000420	0.265248	0.001967	0.000098	0.000041	0.000958	0.000135	0.000216	0.000063	0.027182	0.000719	0.015024	0.000538	0.025888	0.000701	
4.0000	0.0455	0.0009	2.5321	0.000081	0.000040	0.000160	0.000057	0.027563	0.000726	0.000874	0.000129	0.007080	0.000369	0.009507	0.000427	0.000068	0.000033	0.000392	0.000086	0.000020	0.000020	0.016426	0.000559	0.000338	0.000081	0.000205	0.000063	0.004394	0.000293	0.000175	0.000057	0.001334	0.000158	0	0	0.000392	0.000086	0.000003	0.000003	0.000040	0.000025	0.187283	0.001731	0.000487	0.000097	0.368195	0.002150	0.032026	0.000777	0	0	0.000024	0.000017	0.008957	0.000415	0.264782	0.001966	0.000124	0.000049	0.000907	0.000134	0.000169	0.000057	0.026928	0.000715	0.016560	0.000566	0.024508	0.000682	
4.1000	0.0437	0.0009	2.5293	0.000126	0.000049	0.000178	0.000057	0.027984	0.000732	0.000941	0.000134	0.006923	0.000366	0.009012	0.000415	0.000056	0.000033	0.000425	0.000089	0.000020	0.000020	0.017142	0.000570	0.000290	0.000075	0.000161	0.000057	0.004138	0.000284	0.000127	0.000049	0.001329	0.000159	0	0	0.000473	0.000096	0	0	0.000043	0.000027	0.181577	0.001710	0.000487	0.000095	0.374095	0.002157	0.032898	0.000787	0	0	0.000020	0.000020	0.008800	0.000412	0.263473	0.001964	0.000155	0.000055	0.000844	0.000128	0.000191	0.000059	0.026748	0.000713	0.018025	0.000590	0.023318	0.000666	
