Fixed Points (9)
FP	Proba	State	ECMicroenv	DNAdamage	GF	EMTreg	Ecadh	Migration	Metastasis	EMT	ERK_pthw	AKT2	Invasion	AKT1	miRNA	p63_73	TGFb_pthw	WNT_pthw	p53	Apoptosis	Notch_pthw	CCA
#1	0.0052	DNAdamage -- GF -- EMTreg -- EMT -- ERK_pthw -- AKT2 -- CCA	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1
#2	0.016	ECMicroenv -- DNAdamage -- GF -- EMTreg -- Migration -- Metastasis -- EMT -- ERK_pthw -- AKT2 -- Invasion -- TGFb_pthw -- Notch_pthw -- CCA	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1
#3	0.024	GF -- EMTreg -- EMT -- ERK_pthw -- AKT2 -- CCA	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1
#4	0.1226	DNAdamage -- Ecadh -- miRNA -- p53 -- Apoptosis -- CCA	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1
#5	0.1104	ECMicroenv -- DNAdamage -- Ecadh -- miRNA -- p63_73 -- Apoptosis -- CCA	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1
#6	0.25	ECMicroenv -- GF -- EMTreg -- Migration -- Metastasis -- EMT -- ERK_pthw -- AKT2 -- Invasion -- TGFb_pthw -- Notch_pthw -- CCA	1	0	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1
#7	0.1234	ECMicroenv -- DNAdamage -- Ecadh -- miRNA -- p53 -- Apoptosis -- CCA	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1
#8	0.1222	DNAdamage -- Ecadh -- miRNA -- p63_73 -- Apoptosis -- CCA	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1
#9	0.2262	Ecadh	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
